competition,season,source,coverage_tier,players,matches,minutes,dob_age,goals,assists,xg,xa,shots,shot_coordinates,full_event_coordinates,passes,carries,creation,defensive_events,tracking,licence,redistribution_allowed,ingested,confidence,notes
"MLS; USLC; USL1; MLS NEXT Pro",2024,American Soccer Analysis,C,2752,1556,yes,2710/2752,yes,yes,yes,yes,yes,no,no,yes,no,yes,partial,no,official public API/private cache,no,yes,high,"2485 canonical players; all four target leagues"
"MLS; USLC; USL1; MLS NEXT Pro",2025,American Soccer Analysis,C,2865,1552,yes,2793/2865,yes,yes,yes,yes,yes,no,no,yes,no,yes,partial,no,official public API/private cache,no,yes,high,"2585 canonical players; all four target leagues"
"MLS; USLC; USL1; MLS NEXT Pro",2026,American Soccer Analysis,C,2905,1143,yes,2759/2905,yes,yes,yes,yes,yes,no,no,yes,no,yes,partial,no,official public API/private cache,no,yes,high,"2673 canonical players; seasons in progress"
"Premier League; La Liga; Bundesliga; Serie A; Ligue 1",2023/24,Big Balls Sports Data,C_enrichment,907,,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,private free API,no,partial,medium,"110 confirmed links overall; Bundesliga 182/493 versus Impect; no durable provider player IDs"
"Premier League; La Liga; Bundesliga; Serie A; Ligue 1",2024/25,Big Balls Sports Data,C_enrichment,916,,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,private free API,no,partial,medium,"enrichment only; denominator pending API-Football broad roster; no durable provider player IDs"
"Premier League; La Liga; Bundesliga; Serie A; Ligue 1",2025/26,Big Balls Sports Data,C_enrichment,932,,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,private free API,no,partial,medium,"enrichment only; denominator pending API-Football broad roster; no durable provider player IDs"
Danish Superliga,2023/24,Sportmonks,C,431,,partial_359_of_431,431/431,yes,yes,no,no,partial,no,no,partial,no,partial,partial,no,private free API,no,yes,high,"season-bound 12-team squads; free route exposes no xG/xA"
Danish Superliga,2024/25,Sportmonks,C,419,,partial_361_of_419,413/419,yes,yes,no,no,partial,no,no,partial,no,partial,partial,no,private free API,no,yes,high,"season-bound 12-team squads; free route exposes no xG/xA"
Danish Superliga,2025/26,Sportmonks,C,419,,partial_365_of_419,416/419,yes,yes,no,no,partial,no,no,partial,no,partial,partial,no,private free API,no,yes,high,"season-bound 12-team squads; free route exposes no xG/xA"
Scottish Premiership,2023/24,Sportmonks,C,419,,partial_358_of_419,418/419,yes,yes,no,no,partial,no,no,partial,no,partial,partial,no,private free API,no,yes,high,"season-bound 12-team squads; free route exposes no xG/xA"
Scottish Premiership,2024/25,Sportmonks,C,430,,partial_368_of_430,428/430,yes,yes,no,no,partial,no,no,partial,no,partial,partial,no,private free API,no,yes,high,"season-bound 12-team squads; free route exposes no xG/xA"
Scottish Premiership,2025/26,Sportmonks,C,462,,partial_385_of_462,457/462,yes,yes,no,no,partial,no,no,partial,no,partial,partial,no,private free API,no,yes,high,"season-bound 12-team squads; free route exposes no xG/xA"
Bundesliga,2023/24,API-Football,C,770,,partial_646_of_770,770/770,yes,yes,no,no,399,no,no,492,no,349,partial_433_tackles,no,private free API,no,yes,high,"complete team+league pagination; 486 positive-minute players; no xG/xA"
Premier League,2017/18,Pappalardo Wyscout,A,514,380,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,CC BY 4.0,yes,yes,high,"595119 located events; validated baseline"
